name_key,total_inspections,total_violations,avg_violation_count,fails,BusinessName,address,latitude,longitude,last_inspection_date,facility_rating_status,fail_rate
LE COLONIAL SF,3,0,0.0,0,le colonial sf,20 cosmo place,37.788108,-122.412394,2022-08-10,0,0.0
LE DIX SEPT,1,3,3.0,0,le dix sept,3376 18th street,37.762092,-122.4187875,2024-10-25,0,0.0
LE FANTASTIQUE,1,0,0.0,0,le fantastique,22 franklin street,37.774757,-122.4206092,2022-10-05,0,0.0
LE JOZ EATS,3,7,2.3333333333333335,0,le joz eats,21 drumm street,37.793952,-122.396751,2025-06-11,0,0.0
LE MARAIS BAKERY,4,9,2.25,0,le marais bakery,1138 sutter street,37.788138,-122.419242,2024-06-05,0,0.0
LE MARAIS BAKERY CASTRO,5,17,3.4,0,le marais bakery castro,498 sanchez street,37.7612879,-122.4307831,2024-04-25,0,0.0
LE MARCHE CEZANNE,5,4,0.8,0,le marche cezanne,1426 18th street,37.762668,-122.3972055,2024-12-17,0,0.0
LE PARC BISTROBAR,2,6,3.0,0,le parc bistrobar,185 sutter street,37.789614,-122.40351,2025-04-02,0,0.0
LE PETIT,9,8,0.8888888888888888,0,le petit,1 maritime plaza,37.795227,-122.39914,2025-05-27,0,0.0
LE REGENCY,6,0,0.0,0,le regency,18 california street,37.793687,-122.396592,2023-04-05,0,0.0
LE REGENCY DELI,3,4,1.3333333333333333,0,le regency deli,18 california street,37.793727,-122.396787,2025-01-14,0,0.0
LE SANDWICH,5,4,0.8,0,le sandwich,752 columbus avenue,37.801782,-122.4120555,2025-05-07,0,0.0
LE SOLEIL INTERNATIONAL HOLDINGS,6,0,0.0,0,le soleil international holdings,133 clement street,37.782873,-122.4607545,2025-03-21,0,0.0
LEADBETTERS BAKE SHOP,2,0,0.0,0,leadbetters bake shop,554 castro street,37.760004,-122.4352935,2025-05-30,0,0.0
LEADERSHIP HIGH SCHOOL,3,0,0.0,0,leadership high school,350 seneca avenue,37.7217512,-122.444866,2022-10-06,0,0.0
LEAPING LEMUR,8,24,3.0,2,leaping lemur,1 zoo road,37.732914,-122.5032525,2025-03-20,0,0.25
LEAPING LEMUR CART,2,0,0.0,0,leaping lemur cart,1 zoo road,37.721453,-122.48629,2023-06-27,0,0.0
